entity_relevance,entity_sentiment,entity_ticker,harvested_at,story_id
60.0,6.3,CAKE,2017-12-06T02:02:59.625Z,5a274fc7a656f230016b0f4b
60.0,6.3,CAKE,2017-12-06T02:02:59.625Z,5a274fc7a656f230016b0f4b
60.0,6.3,CAKE,2017-12-06T02:02:59.625Z,5a274fc7a656f230016b0f4b
100.0,53.9,SBUX,2017-12-06T01:52:55.368Z,5a274d6ea656f252c86b0f49
100.0,53.9,SBUX,2017-12-06T01:52:55.368Z,5a274d6ea656f252c86b0f49
100.0,-70.0,SBUX,2017-12-06T01:52:01.253Z,5a274d32a656f248586b0f95
100.0,,SBUX,2017-12-06T01:49:53.931Z,5a274cb9a656f2340a6b0f44
100.0,16.0,SHAK,2017-12-06T01:45:09.403Z,5a274b8ea656f2056c6b0f98
100.0,23.9,SBUX,2017-12-06T01:43:24.196Z,5a274b33a656f278116b0f44
100.0,23.9,SBUX,2017-12-06T01:43:24.196Z,5a274b33a656f278116b0f44
100.0,23.9,SBUX,2017-12-06T01:43:24.196Z,5a274b33a656f278116b0f44
60.0,74.9,BWLD,2017-12-06T01:37:56.706Z,5a2749e9a656f2458e6b0f7b
100.0,17.4,SBUX,2017-12-06T01:33:02.104Z,5a2748bda656f2155b6b0f5d
100.0,17.4,SBUX,2017-12-06T01:33:02.104Z,5a2748bda656f2155b6b0f5d
100.0,17.4,SBUX,2017-12-06T01:33:02.104Z,5a2748bda656f2155b6b0f5d
100.0,17.4,SBUX,2017-12-06T01:33:02.104Z,5a2748bda656f2155b6b0f5d
100.0,11.8,CMG,2017-12-06T01:28:56.664Z,5a2747cda656f271c96b0f67
100.0,11.8,CMG,2017-12-06T01:28:56.664Z,5a2747cda656f271c96b0f67
100.0,73.0,SBUX,2017-12-06T01:28:31.523Z,5a2747aea656f26d4e6b0f68
100.0,73.0,SBUX,2017-12-06T01:28:31.523Z,5a2747aea656f26d4e6b0f68
100.0,73.0,SBUX,2017-12-06T01:28:31.523Z,5a2747aea656f26d4e6b0f68
100.0,73.0,SBUX,2017-12-06T01:28:31.523Z,5a2747aea656f26d4e6b0f68
100.0,73.0,SBUX,2017-12-06T01:28:31.523Z,5a2747aea656f26d4e6b0f68
100.0,73.0,SBUX,2017-12-06T01:28:31.523Z,5a2747aea656f26d4e6b0f68
100.0,73.0,SBUX,2017-12-06T01:28:31.523Z,5a2747aea656f26d4e6b0f68
100.0,73.0,SBUX,2017-12-06T01:28:31.523Z,5a2747aea656f26d4e6b0f68
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
6.4,74.2,SBUX,2017-12-06T01:28:31.515Z,5a2747aea656f26d4e6b0f66
9.9,73.7,YUM,2017-12-06T01:23:13.825Z,5a274664a656f239616b0f72
9.9,73.7,YUM,2017-12-06T01:23:13.825Z,5a274664a656f239616b0f72
9.9,73.7,YUM,2017-12-06T01:23:13.825Z,5a274664a656f239616b0f72
9.9,73.7,YUM,2017-12-06T01:23:13.825Z,5a274664a656f239616b0f72
9.9,73.7,YUM,2017-12-06T01:23:13.825Z,5a274664a656f239616b0f72
30.0,74.2,SBUX,2017-12-06T01:23:08.777Z,5a274664a656f239616b0f5c
30.0,74.2,SBUX,2017-12-06T01:23:08.777Z,5a274664a656f239616b0f5c
30.0,74.2,SBUX,2017-12-06T01:23:08.777Z,5a274664a656f239616b0f5c
60.0,30.4,MCD,2017-12-06T04:35:05.909Z,5a27736ca656f221b66b0f47
100.0,80.6,CAKE,2017-12-06T04:35:05.909Z,5a27736ca656f221b66b0f47
100.0,80.6,CAKE,2017-12-06T04:35:05.909Z,5a27736ca656f221b66b0f47
100.0,0.6,SBUX,2017-12-06T04:30:31.396Z,5a27725da656f275356b0f58
30.0,56.7,YUM,2017-12-06T04:27:16.843Z,5a27718ca656f256a86b0fbd
30.0,56.7,YUM,2017-12-06T04:27:16.843Z,5a27718ca656f256a86b0fbd
30.0,56.7,YUM,2017-12-06T04:27:16.843Z,5a27718ca656f256a86b0fbd
30.0,56.7,YUM,2017-12-06T04:27:16.843Z,5a27718ca656f256a86b0fbd
100.0,28.7,SBUX,2017-12-06T04:27:16.843Z,5a27718ca656f256a86b0fbd
100.0,28.7,SBUX,2017-12-06T04:27:16.843Z,5a27718ca656f256a86b0fbd
100.0,62.1,SBUX,2017-12-06T04:24:06.445Z,5a2770d8a656f23aad6b0f74
